rank	lambda	iterator	rmse
3	0.95	6	1.3826
13	0.19	5	0.9507
22	0.65	5	1.0225
20	0.39	3	1.3368
22	0.48	6	0.7962
17	0.92	4	1.5994
11	0.67	6	0.9789
12	0.56	6	0.9031
27	0.6	3	1.5718
3	0.65	6	1.1195
22	0.26	6	0.7255
16	0.59	6	0.8443
13	0.43	3	1.3512
9	0.27	5	0.8794
27	0.91	5	1.3004
23	0.72	4	1.3694
29	0.67	3	1.4888
12	0.84	3	1.9544
17	0.75	3	1.6324
23	0.62	4	1.2894
27	0.18	6	0.7697
10	0.49	5	0.9232
9	0.61	6	0.9791
27	0.31	5	0.8047
4	0.81	3	2.3218
29	0.15	4	1.2141
25	0.65	6	0.9423
26	0.42	6	0.7469
1	0.16	3	3.1775
13	0.07	3	1.8901
4	0.61	3	2.1964
21	0.69	5	1.0876
28	0.93	4	1.5381
15	0.03	3	2.0488
14	0.67	3	1.6753
1	0.51	4	3.0563
20	0.35	4	1.1029
14	0.26	4	1.0629
6	0.5	3	1.7181
2	0.02	3	3.7481
7	0.6	5	1.0648
28	0.65	4	1.2327
3	0.1	6	1.884
25	0.45	3	1.352
1	0.64	6	3.0532
24	0.68	4	1.2047
14	0.17	6	0.8919
22	0.21	3	1.2706
11	0.78	3	1.8427
25	0.23	6	0.7311
18	0.35	3	1.2176
14	0.34	6	0.7135
12	0.5	3	1.4202
12	0.14	6	1.0188
12	0.19	6	0.8121
7	0.54	4	1.2299
16	0.09	6	1.2177
6	0.89	4	1.618
18	0.84	5	1.2356
1	0.63	6	3.1599
15	0.08	3	1.7167
26	0.62	6	0.9172
12	0.89	3	1.9851
9	0.19	4	1.3294
15	0.04	4	1.9245
1	0.43	4	3.1683
13	0.56	3	1.5926
22	0.66	5	1.0882
27	0.33	6	0.6864
13	0.14	3	1.4635
9	0.47	3	1.7594
6	0.74	5	1.2597
20	0.67	5	1.0529
17	0.61	6	0.9474
27	0.35	5	0.7717
2	0.22	5	2.6012
22	0.45	4	1.1189
11	0.01	5	2.7546
24	0.62	4	1.2291
9	0.02	3	2.7856
18	0.96	4	1.5303
10	0.09	6	1.3258
7	0.34	6	0.9542
21	0.47	5	0.9316
24	0.25	5	0.8052
10	0.17	6	0.991
15	0.55	3	1.4643
23	0.37	3	1.2969
27	0.92	3	1.8497
17	0.56	4	1.1413
9	0.91	4	1.647
21	0.75	5	1.1952
3	0.5	3	2.0414
8	0.82	6	1.1246
20	0.43	4	1.1575
4	0.66	5	1.4135
21	0.89	6	1.1778
24	0.98	5	1.2951
5	0.43	3	1.7987
20	0.93	3	1.7854
29	0.76	5	1.1483
26	0.84	3	1.7726
10	0.41	5	0.9792
17	0.72	3	1.7627
1	0.04	3	3.4633
1	0.59	3	3.1556
17	0.6	3	1.4563
12	0.97	5	1.308
1	0.62	5	3.0599
25	0.1	5	1.2187
5	0.91	3	1.9497
6	0.12	5	1.6249
19	0.76	3	1.7788
3	0.54	6	1.0943
28	0.99	5	1.3438
20	0.19	6	0.7801
28	0.84	3	1.7615
28	0.9	4	1.5616
2	0.72	6	1.8643
22	0.04	5	1.6347
7	0.22	4	1.1213
7	0.94	5	1.6171
19	0.38	6	0.7248
21	0.74	6	1.0235
7	0.44	5	1.2956
2	0.88	6	1.3245
2	0.32	4	2.2833
9	0.9	3	1.9994
11	0.61	4	1.4118
14	0.07	3	1.9064
7	0.94	3	2.0038
5	0.64	5	1.1904
12	0.91	3	2.0433
8	0.92	6	1.2574
14	0.8	4	1.5532
12	0.27	3	1.4793
17	0.9	6	1.1841
8	0.84	4	1.5751
15	0.51	3	1.37
8	0.73	3	1.7776
19	0.13	4	1.303
26	0.48	5	0.9126
13	0.38	5	0.8479
22	0.52	6	0.8711
26	0.86	4	1.432
13	0.45	5	0.8901
6	0.83	3	2.0886
29	0.28	5	0.7827
18	0.92	3	1.9181
24	0.41	3	1.3041
19	0.54	3	1.4579
28	0.92	5	1.2701
24	0.96	6	1.214
4	0.4	6	1.0128
2	0.86	5	2.3102
5	0.91	4	1.6878
7	0.28	4	1.2404
13	0.98	4	1.5387
23	0.32	3	1.3004
16	0.99	6	1.3271
7	0.05	4	2.0574
24	0.24	5	0.9141
27	0.64	6	0.9468
26	0.52	3	1.4466
2	0.15	4	2.5521
2	0.95	6	1.8504
19	0.78	5	1.094
21	0.55	3	1.4942
3	0.46	5	2.0985
2	0.66	4	2.386
