name,group,nodesize
"html","group6",272.45
"css","group6",341.17
"hibernate","group8",29.83
"spring","group8",52.84
"ruby","group3",70.14
"ruby-on-rails","group3",55.31
"ios","group4",87.46
"swift","group4",63.62
"html5","group6",140.18
"c","group1",189.83
"c++","group1",268.11
"asp.net","group2",129.55
"c#","group2",321.13
"objective-c","group4",47.01
"javascript","group6",649.16
"jquery","group6",208.29
"redux","group3",8.52
"reactjs","group3",59.03
"php","group6",361.22
"mysql","group6",165.43
"spring-mvc","group8",18
".net","group2",75.08
"react-native","group3",13.61
"spring-boot","group8",12.37
"less","group6",9.73
"sass","group6",30.55
"hadoop","group10",17.95
"apache-spark","group10",11.04
"sql-server","group2",64.62
"express","group3",14.27
"node.js","group3",117.36
"mongodb","group3",50.95
"iphone","group4",15.29
"github","group5",12.71
"git","group5",54.48
"excel","group14",12.5
"excel-vba","group14",11.38
"entity-framework","group2",12.88
"linq","group2",8.32
"wcf","group2",12.73
"wpf","group2",19.38
"android","group4",229.86
"java","group8",610.65
"scala","group10",27.02
"ajax","group6",35.41
"django","group1",40.91
"python","group1",438.67
"vba","group14",16.87
"xcode","group4",11.37
"apache","group5",13.17
"nginx","group5",9.49
"angularjs","group6",126.59
"asp.net-web-api","group2",11.28
"laravel","group6",32.12
"plsql","group2",10.32
"oracle","group2",30.19
"json","group6",25.38
"xml","group6",23.77
"flask","group1",9.39
"wordpress","group6",46.74
"java-ee","group8",22.45
"maven","group8",10.3
"jsp","group8",13.78
"bash","group5",23.91
"linux","group5",108.54
"angular2","group7",18.79
"typescript","group7",17.53
"codeigniter","group6",18.71
"tdd","group12",9.45
"agile","group12",12.22
"twitter-bootstrap","group6",31.05
"web-services","group8",18.94
"rest","group8",27.08
"testing","group11",8.95
"selenium","group11",12.7
"android-studio","group4",14.79
"redis","group3",13.85
"jenkins","group9",10.02
"docker","group9",22.85
"amazon-web-services","group9",30.05
"angular","group7",29.09
"osx","group4",12.58
"machine-learning","group1",44.21
"qt","group1",10.53
"windows","group5",19.71
"ubuntu","group5",11.98
"ionic-framework","group6",8.44
"elasticsearch","group3",10.82
"vue.js","group6",8.38
"r","group1",52.7
"embedded","group1",13.27
"go","group9",24.84
"visual-studio","group2",18.13
"postgresql","group3",39.03
"sql","group2",154.23
"unix","group5",15.67
"eclipse","group8",11.39
"vb.net","group2",23.56
"unity3d","group2",19.36
"devops","group9",9.81
"drupal","group6",8.25
"shell","group5",11.63
"bootstrap","group6",13.28
"xamarin","group2",11.18
"azure","group2",13.68
"mvc","group2",10.92
"haskell","group10",11.18
"api","group8",8.61
"twitter-bootstrap-3","group6",10.13
"regex","group13",9.46
"perl","group13",19.38
"cloud","group9",10.66
"photoshop","group6",12.62
"powershell","group5",9.85
"matlab","group1",27.21
